jawaban,hasil
"Saya suka komputer dan jaringan","IT Support"
"Saya suka memperbaiki jaringan internet","IT Support"
"Saya tertarik instalasi jaringan komputer","IT Support"
"Saya suka troubleshooting komputer","IT Support"
"Saya suka teknologi jaringan","IT Support"
"Saya suka coding website","Web Developer"
"Saya suka membuat website sekolah","Web Developer"
"Saya tertarik frontend development","Web Developer"
"Saya suka HTML dan CSS","Web Developer"
"Saya suka membuat tampilan web","Web Developer"
"Saya suka coding aplikasi","Programmer"
"Saya suka bahasa pemrograman Python","Programmer"
"Saya tertarik membuat software","Programmer"
"Saya suka logika pemrograman","Programmer"
"Saya suka membuat aplikasi desktop","Programmer"
"Saya suka desain poster","Desain Grafis"
"Saya suka editing foto","Desain Grafis"
"Saya tertarik membuat banner","Desain Grafis"
"Saya suka menggunakan Canva","Desain Grafis"
"Saya suka desain visual","Desain Grafis"
"Saya suka editing video","Editor Multimedia"
"Saya tertarik membuat konten video","Editor Multimedia"
"Saya suka Adobe Premiere","Editor Multimedia"
"Saya suka membuat video kreatif","Editor Multimedia"
"Saya suka produksi multimedia","Editor Multimedia"
"Saya suka bisnis online","Marketing"
"Saya tertarik pemasaran produk","Marketing"
"Saya suka menawarkan produk","Marketing"
"Saya suka komunikasi bisnis","Marketing"
"Saya suka dunia marketing","Marketing"
"Saya suka administrasi kantor","Staff Administrasi"
"Saya suka mengatur data","Staff Administrasi"
"Saya tertarik pekerjaan kantor","Staff Administrasi"
"Saya suka menginput data","Staff Administrasi"
"Saya suka pekerjaan administrasi","Staff Administrasi"
"Saya suka melayani pelanggan","Customer Service"
"Saya nyaman berbicara dengan orang","Customer Service"
"Saya suka membantu customer","Customer Service"
"Saya suka komunikasi publik","Customer Service"
"Saya suka pelayanan pelanggan","Customer Service"
"Saya suka menghitung keuangan","Akuntan"
"Saya tertarik akuntansi","Akuntan"
"Saya suka laporan keuangan","Akuntan"
"Saya suka matematika keuangan","Akuntan"
"Saya suka pembukuan","Akuntan"
"Saya suka bekerja dalam tim","HRD"
"Saya suka mengatur anggota tim","HRD"
"Saya tertarik sumber daya manusia","HRD"
"Saya suka komunikasi organisasi","HRD"
"Saya suka mengelola karyawan","HRD"
"Saya suka memperbaiki komputer","Teknisi Komputer"
"Saya suka bongkar pasang komputer","Teknisi Komputer"
"Saya tertarik hardware komputer","Teknisi Komputer"
"Saya suka servis komputer","Teknisi Komputer"
"Saya suka perakitan komputer","Teknisi Komputer"
"Saya suka desain aplikasi mobile","UI/UX Designer"
"Saya tertarik tampilan aplikasi","UI/UX Designer"
"Saya suka membuat desain UI","UI/UX Designer"
"Saya suka pengalaman pengguna","UI/UX Designer"
"Saya suka wireframe aplikasi","UI/UX Designer"
"Saya suka keamanan jaringan","Cyber Security"
"Saya tertarik cyber security","Cyber Security"
"Saya suka melindungi data","Cyber Security"
"Saya suka keamanan komputer","Cyber Security"
"Saya tertarik ethical hacking","Cyber Security"
"Saya suka analisis data","Data Analyst"
"Saya tertarik data science","Data Analyst"
"Saya suka mengolah data","Data Analyst"
"Saya suka statistik data","Data Analyst"
"Saya suka visualisasi data","Data Analyst"
"Saya suka fotografi","Fotografer"
"Saya suka mengambil gambar","Fotografer"
"Saya tertarik dunia kamera","Fotografer"
"Saya suka editing foto profesional","Fotografer"
"Saya suka dokumentasi acara","Fotografer"
"Saya suka animasi","Animator"
"Saya tertarik animasi 2D","Animator"
"Saya suka membuat karakter animasi","Animator"
"Saya suka motion graphic","Animator"
"Saya suka dunia animasi","Animator"
"Saya suka membuat game","Game Developer"
"Saya tertarik pengembangan game","Game Developer"
"Saya suka game programming","Game Developer"
"Saya suka desain game","Game Developer"
"Saya suka dunia game","Game Developer"
"Saya suka presentasi","Public Relations"
"Saya tertarik hubungan masyarakat","Public Relations"
"Saya suka komunikasi publik","Public Relations"
"Saya suka branding perusahaan","Public Relations"
"Saya suka berbicara di depan umum","Public Relations"
"Saya suka mengajar","Guru"
"Saya tertarik dunia pendidikan","Guru"
"Saya suka membantu belajar","Guru"
"Saya suka menjelaskan materi","Guru"
"Saya suka kegiatan sekolah","Guru"
"Saya suka bisnis makanan","Entrepreneur"
"Saya tertarik membuka usaha","Entrepreneur"
"Saya suka jual beli produk","Entrepreneur"
"Saya suka mengembangkan bisnis","Entrepreneur"
"Saya suka menjadi pengusaha","Entrepreneur"